id,title,company,content,publicationDate,location,type,tags
97,Transcriptionist,Appen,Transcribe audio to help build state-of-the-art AI-powered speech recognition models for US English! When you work on our projects you are helping develop responsible unbiased AI. Our client aims to measure how well people can understand a Text to Speech voice in noisy conditions. In this task you will be contributing towards improving machine speech recognition for US English by listening to short noisy speech items with randomized 48 noise conditions and We will specify whether the male or female TTS voice should be transcribed. You should not listen to the same speech item twice because even though the noise conditions change the speech content is the same. Requirements: Interested? Click the 'APPLY' button to proceed. https://connect.appen.com/qrp/public/jobs?sref=2b83a983bb5f42dc19a29449a952e982 *Once you opened the link it will direct you to our registration page. Please complete the needed details for the project to qualify. Make sure that you input the United States of America as your Country and your Language Region then input English as your Primary Language. How to create a profile in Appen Connect: https://crowdsupport.appen.com/hc/en-us/articles/4408022443156-How-do-I-create-a-profile-in-Appen-Connect-VIDEO Don’t miss the chance to earn extra income working from the comforts of your own home and to be part of a rapidly growing global team for the world’s top Internet search engine companies! APPEN FAQ: https://connect.appen.com/qrp/public/faq Please do let me know if you have any questions or clarifications regarding the project you can email me at LSILLA@APPEN.COM "A diverse inclusive culture is vital to our mission of helping build better AI. We offer opportunities for individuals of all abilities and backgrounds." Don’t miss the chance to earn extra income working from the comfort of your own home. This is a great opportunity for you and your friends! • Work from home with flexible hours • You can work on our projects around your other jobs • Appen is ranked as top 1 out of 100 companies offering remote jobs by Flexjobs.com Thank you and we hope to work with you soon! #innovation #technology #future #careers #data #artificialintelligence #hiring #jobsearch #jobseekers #deeplearning #workingathome #recruiting #job #datascience #ai #jobopening #homeoffice #openings,2022-03-29 15:41:25.460109,[United States] United States,Full-Time,11
98,Medical Scribe (Remote),Augmedix,,2022-03-29 15:41:25.460397,[United States] Arizona United States,Full-Time,11
99,Medical Scribe (Remote),Augmedix,,2022-03-29 15:41:25.460435,[United States] Utah United States,Full-Time,11
100,Transcriber for Chinese Speakers | Work From Home | Part Time,Appen,Help transcribe audio to help build state of the art automatic speech recognition models! The speakers in this project’s audio will be Yue Chinese speakers in China. Your task is to produce highly accurate transcriptions of conversational speech combined with annotation mark-up. We will provide you with Guidelines for how to transcribe and annotate the audio. The data will be used to develop better AI-powered speech recognition for Cantonese. Requirements: • Stable internet connection • Strong attention to detail • Understanding of basic linguistic concepts • Good reading comprehension skills in English • Ability to review examples and apply rules to data • Familiarity with spelling conventions in Cantonese • Native/Near-native knowledge of Cantonese • Prior experience with transcription • Prior experience with annotation of acoustic data If you are interested in joining this unique study and have some fun whilst earning money we're waiting for you! You can access the link below to register: https://connect.appen.com/qrp/public/home?sref=8871faf4fa8a7a573f0433a6c3c7188d Thank you and we hope to be working with you soon! A diverse inclusive culture is vital to our mission of helping build better AI. We offer opportunities for individuals of all abilities and backgrounds.,2022-03-29 15:41:25.460467,[China] Beijing China,Full-Time,11
101,Speech Algorithm Engineer,Graphcore,At Graphcore we’re optimistic for a future where people live healthier more informed more creative lives. Our team is at the forefront of the artificial intelligence revolution enabling innovators from all industries and sectors to expand human potential with technology. We believe our IPU technology will become the worldwide standard for artificial intelligence transforming whole industries and sectors whether you are a medical researcher roboticist or building autonomous cars. What we do really makes a difference. Responsibilities: Responsible for the research of speech-related algorithms and implement them in actual business scenarios to achieve business results. Responsibilities are as follows: Automatic Speech Recognition/Text-To-Speech/Speech enhancement/Speech synthesis and other speech related tasks. Implement quickly by applying machine learning and natural language processing algorithms and propel the engineering productization businessization and continuous optimization of algorithm capabilities. Understand the technology development trend of related fields based on business features and carry out the exploration and academic research on different technical solutions. Requirements: Master degree or above in AI computer statistics combinatorics and optimization or similar disciplines; author of published articles in top journal conferences or winner of top competitions is a plus. Experience on ESPnet/Kaldi is a plus. Good command of English communication. Minimum one programming language is required; understand machine learning algorithm proficient in applying Python/C++/Shell and other tools familiar with at least one mainstream deep learning framework such as Tensorflow Pytorch etc. Think differently when encounter unknown problems strong analytical and problem-solving skills and be attached to challenging work; A good team player with a strong sense of responsibility a clear mind and good communication skills. We welcome people of different backgrounds and experiences and are committed to building an inclusive work environment that makes Graphcore a great home for everyone. We are an equal opportunity employer and want to build a work environment where everyone is happy productive and respectful so they can do their best work. If you have a disability or additional need that requires accommodation just let us know.,2022-03-29 15:41:25.460790,[China] Beijing China,Full-Time,11
102,Research Scientist / Research Engineer,Roblox,Roblox China Location: Shenzhen China Research Scientist / Research Engineer Roblox China (ask Luobu) is looking for strong candidates with expertise in Audio Processing and Computer Vision. The ideal candidate will have experience and interest in the use of machine learning techniques to solve problems targeting computer vision tasks especially tasks related to Automatic Speech Recognition Keywords Spotting Noise ReductionVoice Print Recognition 3D Object Generation 3D Cartoon Object Detection and Action Recognition. The candidate will have the opportunity to work with other top research scientists and research engineers and together research and develop the world's first Autonomous Moderation System across all 20 million games and 7 billion UGC on Roblox. There is also the opportunity to publish at top-tier conferences and journals. This position is a great fit for candidates with research and engineering who want to be at the cutting edge of research and at the same time have direct real-world impact. Requirements Areas,2022-03-29 15:41:25.461053,[China] Shenzhen Guangdong China,Full-Time,11
103,Software Test Development Engineer - Deep Learning,NVIDIA,We are looking for a Software Test development engineer in NVIDIA’s Deep Learning SWQA team. The position is in NVIDIA Deep Learning Software Quality Assurance team that defines develops and performs tests to validate robustness and measure the performance of NVIDIA‘s Deep Learning software and GPU Infrastructure for autonomous driving healthcare speech recognition natural language processing and a wide variety of other AI scenarios. This team collaborates with multiple AI product teams to develop new products; derive and improve complex test plans; and improve our workflow processes for a diverse range of GPU computing platforms. You should grow with being in the critical path supporting developers working for billion-dollar business lines as well as intimately understanding the values of responsiveness thoroughness and teamwork. You should constantly foster and implement efficiency improvements across your domain. Join the team which is building software which will be used by the entire world! What you’ll be doing: What we need to see: Ways to stand out from the crowd:,2022-03-29 15:41:25.461139,[China] Shanghai China,Full-Time,11
104,AI算法研究员-NLP（AIoT）(J29718),BOE Technology Group Co. Ltd.,,2022-03-29 15:41:25.461292,[China] Daxing District Beijing China,Full-Time,11
105,Personalized Internet Assessor,TELUS International,About TELUS International AI Inc. We help companies test and improve machine learning models via our global AI Community of 1 million+ annotators and linguists. Our proprietary AI training platform handles all data types (text images audio video and geo) across 500+ languages and dialects. Our AI Data Solutions vastly enhance AI systems across a range of applications from advanced smart products to better search results to expanded speech recognition to more human-like bot interactions and so much more. Learn more at http://www.telusinternational.com What does the role involve? In this role you will be reviewing online search results in order to improve their content and quality. You will be required to provide feedback and analysis on content found in search engine results and provide ratings on their relevance to the search terms used. Another aspect of this role will involve reviewing the language used in the search results by examining grammar tone and cultural relevance. Through this work you will be making a valuable contribution by expressing your opinion on the quality and content of what is currently out there on the web. You will play a part in improving the quality of one of the largest search engines in the world using both your PC and required Smartphone device. Who is suitable for this role? We are currently seeking dynamic and creative people who have a strong interest in social media specifically those who are an active daily user of their Gmail account. We also require suitable candidates to own & use a smartphone – Android or iPhone – and have a familiarity with other forms of social media and Google products. You should also be flexible reliable and have the ability to interpret and follow established guidelines. You will have the flexibility and freedom to work from your own home working your own hours. Hours are up to 20 hours per week depending on task availability. We are currently seeking people who have a specific smartphone device (Android V4.2 or higher or iPhone running iOS version 10.0 or higher) to complete tasks. What are the main requirements for the role? • You must be fluent in written and verbal English • You must be living in Australia for the last 5 consecutive years • You must own and use a Smartphone (Android V4.2 or higher or iPhone running iOS version 10.0 or higher) to complete tasks • The majority of the task types will require both a desktop/laptop and a Smartphone • Gmail must be your primary email account • Active daily user of Gmail and other forms of social media (Twitter & Facebook) • You must have familiarity with current and historical business media sport news social media and cultural affairs in Australia • Access to and use of a broadband internet connection and associated computer and software to perform the work all provided at your own expense • Experience in use of web browsers to navigate and interact with a variety of content,2022-03-29 15:41:25.461338,[Australia] Melbourne Victoria Australia,Full-Time,11
106,Speech Language Pathologist,AEIOU Foundation for children with autism,About the Company At AEIOU Foundation for Children with Autism we have a simple yet sincere goal: to provide early intervention that enables children with autism to live their best lives. It’s how we do it that sets us apart from everybody else. AEIOU is a profit-for-purpose organisation established in 2005 to deliver high-quality therapy and care. Our family-centred program meets the Guidelines for Good Practice and supports children with autism to develop essential life skills independence and confidence. The Position: AEIOU Bald Hills is on the north side 20kms from Brisbane CBD and operates from 7.00am to 5.00pm About the Role: About you: Autism-specific experience is desirable; however we will also provide you training and support within the framework of this role. Graduates welcome to apply! What we do for you: Culture AEIOU Foundation is a caring culture with a drive to continually improve and provide employee recognition through clear organisation values: Support Teamwork Excellence and Passion. AEIOU Bald Hills describe themselves as a hard-working and dedicated team that looks after each other after the children and their families. They are motivated by their sense of belonging and togetherness which has been cultivated at the centre through teamwork drive and as well as through their sense of humour! How to Apply Apply for the positions above today via LinkedIn with reference to preferred location by attaching a brief cover letter and a resume or via AEIOU Foundation career's website. To download the position description please visit our Careers Website at https://aeiou.org.au/careers-at-aeiou For further insight into the role please contact Kate Schatz Clinical Team Leader on: 0413 662 749,2022-03-29 15:41:25.461643,[Australia] Brisbane Queensland Australia,Full-Time,11
107,Software Engineer - .NET,Cyara,Cyara is the world’s leading Automated CX Assurance Platform provider enabling leading brands across the globe to build better customer experiences faster. Through automated testing and monitoring Cyara accelerates the delivery of flawless customer journeys across digital and voice channels while reducing the risk of customer-facing defects. Every day the most recognizable brands including Airbnb Tesla Google and NAB trust Cyara to deliver customer smiles at scale. Our promise is Customer Smiles. Delivered at Scale and as a member of Cyara’s team you’ll be given the opportunity to bring that mission to fruition alongside our amazing community of fun-loving forward thinkers. Interested to find out more about us? Check out: www.cyara.com Want to know what it’s really like to join Cyara? Check out this link to meet some real Cyaran’s and read about their individual career journey with us: https://cyara.com/employee-profiles/ Let's talk about the role and the Team: As Cyara scales its products and the engineering organisation we’re looking for a talented and driven Software Engineer to join our Agile development team in Melbourne. You’ll be involved in the design development and support of the Cyara Automated CX Platform while contributing to the replatforming of the architecture. Let's talk about the role and responsibilities: Your day to day responsibilities will include: Let’s talk about your skills/expertise: Nice to have (or you are keen to learn): Why you should join us: At Cyara you’ll work with a group of people who share common goals are driven by a similar passion and value the expertise of their peers. Cyara Solutions are an Equal Opportunity Employer committed to providing a working environment that embraces and values diversity and inclusion. At Cyara we appreciate and welcome the fact that our culture is living and growing as we continue to evolve over time. With this opportunity comes the chance to enjoy a flexible work environment competitive compensation and a work culture that's results-oriented fast-paced and focused on continuous improvement whilst maintaining a family first team-oriented and ever positive atmosphere. Cyara cares for its own - you’ll feel that on your first day - and you'll get the chance to work for a global growing company and an all-inclusive team of innovators. We credit our amazing growth and success to the fact that we’ve built our business on four essential values that we live and breathe every day: Interested? Know someone who might be? Apply online now. Applicants must be resident in Australia to apply for this role. Cyara are part of The Circle Back Initiative - we commit to respond to every applicant. Agencies: Thanks but we’ve got this one! Please no phone calls or emails to any employees of Cyara outside of the Talent Acquisition team. Cyara’s policy is to only accept resumes from Agencies via the Cyara Agency Portal. Agencies must have a valid fee agreement in place and they must have been assigned the specific requisition to which they submit resumes by the Cyara Talent Acquisition team before submitting any CV's. Any resume submitted outside of this process will be deemed the sole property of Cyara and in the event a candidate is submitted outside of this policy is hired no fee or payment of any kind will be paid,2022-03-29 15:41:25.461783,[Australia] Melbourne Victoria Australia,Full-Time,11
108,SaaS Sales - Speech Recognition Platform $80k + super + bonus,Big Wave Digital,Let 2022 be the year you make THAT career change ... Thanks for stopping by to explore this exciting BRAND new and exclusive role of Business Development Manager for an innovative and growing Speech Recognition Software organisation. Every now and then and actually more then than now a sensational job pops up on our radar and we stop and really take stock of what we are working on. I mean there are loads of BDM Software or Hardware Sales roles but I can honestly say very few of this calibre or uniqueness. So yes we are excited to say the least! Big Wave Digital are active in the Technical Sales recruitment space and currently have a terrific role for a BDM that will be working for a growing tech business that is literally writing the next page on speech recognition and how it will improve productivity across multiple sectors. Already a globally operating business youâ€™ll get to join at a pivotal and exciting time in their trajectory. They foster a friendly smart collaborative and high-performance culture. Growing BIG TIME - thatâ€™s where you come in! They also value: - ideas - smart innovation and - lateral creative problem solving Time to read on. Ok so you want to know more great. Well perhaps we should cover what skills and experience will get you in the door to say hi. Salary range on offer of up to $70k to $80k + super + bonus As you can probably gauge we are genuinely excited about the prospects of finding someone AMAZING to take on this new BDM role. Are you up for the challenge? Only the most capable BDMâ€™s need apply! Send your resume in confidence to Keiran Hathorn keiran@bigwavedigital.com.au,2022-03-29 15:41:25.461968,[Australia] Sydney New South Wales Australia,Full-Time,11
109,Speech Language Pathologist,AEIOU Foundation for children with autism,About the Company At AEIOU Foundation for Children with Autism we have a simple yet sincere goal: to provide early intervention that enables children with autism to live their best lives. It’s how we do it that sets us apart from everybody else. AEIOU is a profit-for-purpose organisation established in 2005 to deliver high-quality therapy and care. Our family-centred program meets the Guidelines for Good Practice and supports children with autism to develop essential life skills independence and confidence. The Position: About the Role: About you: Graduates welcome to apply! What we do for you: Culture AEIOU Foundation is a caring culture with a drive to continually improve and provide employee recognition through clear organisation values: Support Teamwork Excellence and Passion. AEIOU Canberra is a newly established service having opened in May 2021 and offers AEIOU’s life-changing early intervention program to 40 children each year. The team are motivated through the life-changing work that they do each day with the children and the centre culture is characterised by collaboration and hard-work. How to Apply For further insight into the role please contact Joy Hart Clinical Team Leader on: 0413 662 561,2022-03-29 15:41:25.462084,[Australia] Canberra Australian Capital Territory Australia,Full-Time,11
110,AI Engineer in Game Changing Companies / Top Startups at Tokyo or Global Remote,E-arth Inc,We are actively hiring for AI Engineer / AI Researcher / MLOps positions in Game Changing Companies / Top Startups at Tokyo or Global Remote. E-arth Inc is a recruitment agency specialized in AI. We support AI Engineers to find an ideal job. https://e-arth-recruit.net/ Domains : Vision AI Robotics Industry 4.0 NLP Speech Medicine Healthcare AGI Companies hiring AI Engineers : - AI Startup trying to solve social issues by the power of AI featured as No1 Startup with the most momentum by LinkedIn Japan - Healthcare AI Startup founded by Nobel Prize Candidate - SoftBank Group - Global Manufacturing Giant - one of Tesla's major battery suppliers making batteries more sustainable and intelligent by AI - AI Startup collaborating closely with TOYOTA group in Robotics fields building AI Robotics software independent of hardware like Windows Android and ROS - AI Startup trying to automate every possible machine - AI Startup applying space robotics technologies to real world problems - Game Changing IoT Company making IoT available for every possible device - AI Startup making voice/video communication better with AI analysis and suggestions - AGI Startup founded by Google AI Tech Lead who wrote the 1st TensorFlow model in the world Tech Stack : TensorFlow PyTorch Python C++ ROS Deep Learning Reinforcement Learning Vision NLP Speech Recognition and more Location : Most of jobs at Tokyo some at SiliconValley and others at tentative or permanent remote Salary/Benefits : Competitive Salary with various benefits Language : Many jobs are ok with working in English. Other jobs require Japanese skills. Preferred Experience/Academic Background : Outstanding candidates with good industry experience OR outstanding students from top universities with academic background in : either of math physics science/engineering in general computer science robotics AI,2022-03-29 15:41:25.462373,[Japan] Tokyo Japan,Full-Time,11
111,NLP Developer,Yaraku Inc.,About Yaraku Yaraku is a start-up located in Shibuya Tokyo. We develop web-based Translation Management applications and advanced Machine Translation technologies. Responsibilities The NLP Developer is responsible for inventing developing coding and putting into production new deep learning models for machine translation. The developer will need familiarity with frameworks for developing deep learning models (Pytorch or Tensorflow). The developer will also be responsible for keeping up-to-date with the latest research in machine translation and deep learning. We are looking for the candidate to be familiar with various models used in NLP and MT and the latest research that has come out of research groups around the world. The candidate is also expected to be familiar with the fundamentals of ML and to be able to develop new NLP models. We are working on several challenging and cutting-edge technologies and models. The NLP developer might also get to work on developing crawlers and data gathering systems. Freedom and responsibility You’ll get to choose the tasks you work on and be responsible for all stages of development: from design to implementation to testing to deployment. We take a hands off approach to management and so no one is going to tell you exactly how to do something. Rather you’ll have the freedom to choose yourself what approach to take and even which technologies to use. Craft quality code We know that taking the time to create clean quality code pays dividends in the future. Management understands this and so rather than being pushed to quickly hack something together you’ll have the time needed to create beautiful code. Your gateway to Japan Our team is made up of international developers from around the world and English is our common language around the office. If you’re looking to move to Japan we welcome you to apply - no Japanese is required and you don’t need to be living in Japan yet. Our response to COVID-19 Employees are working from home and will continue remote work in the foreseeable future. For overseas candidates we’ll have you work remotely until we can secure you a visa. Skills Experience with Natural Language Processing (NLP) Able to take research articles and journals and apply practically Bachelor’s degree in relevant field or 10-years Work Experience (for Visa purposes) Pluses Experience with NLP-driven applications is a plus Experience with AI or Machine Learning is a plus. Experience or knowledge of DevOps (Docker Ansible etc) a strong plus. Benefits Visa sponsorship Full Employment under Japanese law (which includes National Health Insurance and Pension) Commute Fee covered No Overtime Remote work possible Employment Type,2022-03-29 15:41:25.462458,[Japan] Greater Osaka Area,Full-Time,11
112,NLP Engineer,SQUARE ENIX AI & ARTS Alchemy Co. Ltd.,Square Enix AI & Arts Alchemy is a newly created subsidiary in the Square Enix group. We operate as a start-up with secured funding. We explore new ways of entertainment by rethinking how character art animation and modern AI can be recombined and repurposed to create something genuinely new and exciting. Among other areas we focus on virtual avatars who can speak listen and act naturally and fluently. Have you ever wondered what it would be like to sit down and have a conversation with your favorite fictional character? Exchange thoughts like you would with a friend or colleague? That is the experience we are after. Drawing from recent even ongoing advances in conversational AI as well as modern game and even robotics technology we pursue this goal with the passion of gamers and technology enthusiasts. In this context we are looking for an experienced Natural Language Processing Engineer to harness the "dialogue" capabilities of the new AI language models and processes our research team is developing and help porting these prototypes to production-level interactive experiences. The ideal candidate should play well in our diverse team be curious of new technology and be able to deliver robust solutions in a timely manner. 【Responsibilities Include】 ・ Be a part of a team realizing real-time interactive conversation AI with humans. ・ Incorporation and testing of conversation AI modules in game engines. ・ Programming and extending of natural language processing systems as needed. ・ Training NLP models according to specifications given by researchers. ・ Implementation of conversational learning ability using deep learning. ・ Support our AI conversation research team in bringing their results to production. 【Basic Qualifications】 ・At least 2 years of experience doing development work in the field of Natural Language Processing. ・Experience with at least one modern deep learning framework such as Tensorflow or Pytorch ・Strong programming ability (C++ Python). ・Ability to communicate with the development team and be a team player. ・Proven ability to work self-sufficiently and be proactive in dealing with upcoming challenges. ・Basic written and verbal communication skills in English and Japanese. 【Preferred Qualifications】 ・Basic knowledge in voice recognition and voice synthesis technology. ・Experience with interactive contents development. ・Experience with game development. Are you hungry for more? Is traditional game development not satisfying you anymore? Do you have an AI background but have wondered how to connect to game development? Have a look at our recruitment site at https://www.squareenix-alchemy.com/ we would love to hear from you. Do you think you can contribute but none of our job postings reflects your personal skill set and motivation well? Send your application to the job description that fits what you want to do the closest and we will come back to you. There is no one-size fits all and we are open to exceptional candidates in relevant areas. Looking forward to hearing from you!,2022-03-29 15:41:25.462658,[Japan] Tokyo Japan,Full-Time,11
113,Job Posting Title Technical Project Manager (Automotive),Cerence Inc.,As a System Engineer you will support the development life cycle for software. You will be responsible for recording and clarification of technical requirements with internal and external stakeholders as well as tracking of the project related features. You will also analyze reported errors assign them to responsible teams follow up and monitor the correction progress and actively evaluate technical solutions and interface proposals. The focus will be to coordinate all activities features and bug fixes on the project according to the customer requirements and the project needs. Job Description Responsibilities: Qualifications Preferred skills: Education:,2022-03-29 15:41:25.463670,[Japan] Greater Tokyo Area,Full-Time,11
114,Software Engineer Applied Machine Learning (News Ranking),SmartNews,About SmartNews News can change the world save lives and bring us all closer together through empathy and understanding—but not if no one reads it. Out of the hundreds of millions of articles and posts how do we deliver the information that matters the most? Founded in 2012 in Tokyo Japan SmartNews is a leading global information and news discovery company dedicated to delivering quality information to the people who need it. We provide news that matters to millions of users thanks to our unique machine learning technology and relationships with over 3000 global publisher partners. Our SmartNews app available on iOS and Android is already used in over 150 countries worldwide. But we’re only just getting started and that’s why we need someone like you. Machine learning on news ranking is crucial for analyzing millions of articles every day to deliver the most engaging high-quality information in near-real-time while providing Personalized Discovery experience to our users. About Our Engineering Culture Our global teams of engineers come from a variety of professional backgrounds from large well-established companies to small ventures. We believe that employees with diverse skill sets and life experience make for strong cohesive teams. Visit the People page on our careers site to read interviews of our engineering leaders! https://careers.smartnews.com/people/engineering/ Applied Machine Learning Engineer Responsibilities Machine Learning engineers are responsible for tackling complex problems to optimize the ranking and recommendation system (example: search ranking collaborative filtering personalized recommendation diversification and more) Minimum Requirements Preferred Qualifications Perks and Benefits at the SmartNews Tokyo Office Visa Sponsorship and Relocation Support For candidates who meet eligibility requirements SmartNews can sponsor visas. To support a smooth transition for candidates who are moving to Japan from overseas SmartNews partners with a travel service provider.,2022-03-29 15:41:25.463765,[Japan] Tokyo Tokyo Japan,Full-Time,11
115,Data Linguist,Saarthi.ai,Description of the role ﻿Requirements Responsibilities About Saarthi : Saarthi.ai is India's pioneering multilingual voice and language technology company consistently endorsed by industry and government bodies such as NASSCOM FICCI-ILIA MEITY Startup India and many others. Our mission is to simplify and standardize voice and non-voice business processes of enterprises across telecommunications online commerce healthcare automotive real estate banking financial services and insurance sectors. We offer ready-to-hire multilingual call center AI agents and conversational robocalling ai solutions pre-trained in the most frequent business processes such as lead qualification payment reminders debt collection CSAT feedback survey and others to premier financial enterprises globally. Our proprietary Conversational AI framework i.e. GODS when coupled with domain fine-tuned highly accurate Speech-to-Text & Text-to-Speech engines enables semantically rich and coherent dialogues. Built on top of the lossless language understanding and dialog management software in major global languages. We have been part of NVIDIA Inception Accelerator Microsoft for Startups AWS ML Elevate and NASSCOM DeepTech Club in the past. We also provide pre-trained Multilingual Customer Support AI Agents for mobile network operators to manage 70% customer interactions without human intervention and have recently unveiled the world's first AI frontdesk receptionist for hospitals and diagnostic lab chains. Besides this we also offer interactive desktop for live agent assistance 360-degree analytics and voice biometric solutions. Our Core Values We at Saarthi share a common responsibility to co-create a work culture of discipline and purpose. On this note we extend a warm invite to all those gritty hustlers who love to challenge themselves and are willing to join the Saarthi revolution. Website: https://www.saarthi.ai,2022-03-29 15:41:25.464113,[India] India,Full-Time,11
116,Medical Transcription,Swago,,2022-03-29 15:41:25.464404,[India] Pune Maharashtra India,Full-Time,11
117,Natural Language Processing Engineer,Continental,,2022-03-29 15:41:25.464509,[India] Bengaluru Karnataka India,Full-Time,11
118,Data Scientist (NLP),Forage AI,Join Forage AI as a Data Scientist! In this role you’ll be working with an amazingly passionate and talented team of engineers and data scientists who are working at the bleeding edge of data science and data automation. Responsibilities: Requirements: Other Infrastructure Requirements: Since this is a completely work-from-home position you will also require the following: -,2022-03-29 15:41:25.464548,[India] India,Full-Time,11
119,Data Science-Deep Learning,LTI - Larsen & Toubro Infotech,Greeting At LTI we are presently hiring for Deep Learning Specialist(Data Scientist) Experience – 3-4 years Location – Chennai Skills – Deep Learning ROLES and RESPONSIBILITIES: The candidate will be responsible for building Deep learning model for vision and NLP and will be responsible for converting blue sky ideas into implementation. • Should be able to create solutions and try various algorithms to solve the problem. • Use NLPVision and ML techniques to bring order to unstructured data • Experience in extracting signal from noise in large unstructured datasets a plus • Work within the Engineering Team to design code train test deploy and iterate on enterprise scale machine learning systems • Work alongside an excellent cross-functional team across Engineering Product and Design BASIC QUALIFICATIONS • Experience in applying machine learning techniques Natural Language Processing or Computer Vision using TensorFlow Pytorch • Strong analytical and problem-solving skills • Solid software engineering skills across multiple languages including but not limited to Java or Python C/C++ • Problem solver - able to work independently and be comfortable with deadlines and milestones • Deep understanding of ML techniques such as: classification clustering deep learning optimization methods supervised and unsupervised techniques • Strong communication skills and an easy going attitude • Proven ability to apply debug and develop machine learning models for real-world applications,2022-03-29 15:41:25.464593,[India] Chennai Tamil Nadu India,Full-Time,11
120,NLP Developer,Yaraku Inc.,About Yaraku Yaraku is a start-up located in Shibuya Tokyo. We develop web-based Translation Management applications and advanced Machine Translation technologies. Responsibilities The NLP Developer is responsible for inventing developing coding and putting into production new deep learning models for machine translation. The developer will need familiarity with frameworks for developing deep learning models (Pytorch or Tensorflow). The developer will also be responsible for keeping up-to-date with the latest research in machine translation and deep learning. We are looking for the candidate to be familiar with various models used in NLP and MT and the latest research that has come out of research groups around the world. The candidate is also expected to be familiar with the fundamentals of ML and to be able to develop new NLP models. We are working on several challenging and cutting-edge technologies and models. The NLP developer might also get to work on developing crawlers and data gathering systems. Freedom and responsibility You’ll get to choose the tasks you work on and be responsible for all stages of development: from design to implementation to testing to deployment. We take a hands off approach to management and so no one is going to tell you exactly how to do something. Rather you’ll have the freedom to choose yourself what approach to take and even which technologies to use. Craft quality code We know that taking the time to create clean quality code pays dividends in the future. Management understands this and so rather than being pushed to quickly hack something together you’ll have the time needed to create beautiful code. Your gateway to Japan Our team is made up of international developers from around the world and English is our common language around the office. If you’re looking to move to Japan we welcome you to apply - no Japanese is required and you don’t need to be living in Japan yet. Our response to COVID-19 Employees are working from home and will continue remote work in the foreseeable future. For overseas candidates we’ll have you work remotely until we can secure you a visa. Skills Experience with Natural Language Processing (NLP) Able to take research articles and journals and apply practically Bachelor’s degree in relevant field or 10-years Work Experience (for Visa purposes) Pluses Experience with NLP-driven applications is a plus Experience with AI or Machine Learning is a plus. Experience or knowledge of DevOps (Docker Ansible etc) a strong plus. Benefits Visa sponsorship Full Employment under Japanese law (which includes National Health Insurance and Pension) Commute Fee covered No Overtime Remote work possible Employment Type,2022-03-29 15:41:25.464725,[India] Mumbai Metropolitan Region,Full-Time,11
121,IVR Application Developer,ResultsCX,About ResultCX: We encourage our people to “expect greater” reach further and live up to their individual potential. As a leader in the customer service call center industry we partner with Fortune 500 companies to provide exceptional customer experiences globally. We are looking to grow our teams with people who are up for a challenge and share our passion and commitment. If you are interested in an opportunity to make a difference in a fast-paced environment ResultsCX could be right for you! ResultsCX is an equal opportunity and affirmative action employer and will consider all qualified applicants without regard to race color religion national origin sex sexual orientation gender identity age disability veteran status or any other protected factors under federal state or local law.,2022-03-29 15:41:25.465070,[India] Hyderabad Telangana India,Full-Time,11
122,Computer Vision Research Engineer,STANLEY X,,2022-03-29 15:41:25.465119,[United States] United States,Full-Time,12
123,Computer Vision Algorithm Engineer,Aibee Inc.,Algorithm Engineer Computer Vision Founded by Dr. Yuanqing Lin in November 2017 Aibee is a leading AI startup providing AI solutions and its mission has been to empower and upgrade the vertical market with AI. We are a leading company in the application of AI technologies for the retail industry have developed full AI solutions for offline retailers that enable them to close the loop among data algorithms and product/service. Aibee applies the most advanced and innovative AI technologies (computer vision speech recognition natural language understanding big data analytics robotics etc.) and has become the strategic partner of many of the world’s largest retail chains. We are looking to grow our team with talented algorithm engineers develop software and models that marries cutting-edge computer vision and deep learning technology. Responsibility: ·  Research design develop implement and optimize algorithms related to the broad problems of computer vision including but not limited to pose estimation/tracking object detection tracking image/video semantic segmentation video semantic understanding  3D vision etc.; ·  Analyze track and produce state-of-the-art research related to Aibee AI solutions; ·  Optimize computer vision algorithms and apply to real applications. ·  Implement production-quality algorithms with strong ownership. ·  Explore promising research and maintain/gain the technical edge required for Aibee AI projects; share and develop new approaches and methods. Qualifications: ·  MS (or BS with at least 3 years working experience) in Computer Science Electrical Engineering Computational and Mathematical Engineering or a closely related field ·  3+ years of experience in C++ or Python for computer vision or machine learning applications. ·  Knowledge and experience in computer vision and machine learning technologies. ·  Solid understanding of basic mathematical tools like Linear Algebra and Probabilities. ·  Background in machine learning with experience in large scale training and evaluation of deep convolutional and/or recurrent neural networks is preferred. Benefits: ·  Comprehensive Medical Dental and Vision Insurance ·  Retirement Plan ·  Generous PTO and Paid Holidays ·  Daily Meal and Bi-weekly Happy Hours ·  Flexible WFH Policy ·  Frequent Tech Talks,2022-03-29 15:41:25.465408,[United States] Palo Alto CA,Full-Time,12
